FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;3;023;DEU;3;BOG;25;9;249;1;198;1;8;2;810904000;25;33;KG;3161,60;3597,00;3161,60;25840,00;123418300,00;0;0;0;0
2302;3;023;DEU;3;BOG;25;9;249;1;198;1;8;2;901119000;25;33;KG;75,00;81,00;75,00;8551,90;41718220,65;0;582;50;0
2302;3;023;DEU;3;BOG;25;9;249;1;198;2;8;2;602909000;25;11;U;456,00;2,00;1,00;4,56;22573,50;0;0;0;0
2302;3;023;DEU;3;BOG;76;9;169;1;198;1;8;1;3923299000;76;11;U;729616,00;289,45;210,03;5003,27;23725756,50;3938,03;1814,08;0;37
2302;3;023;DEU;3;BOG;76;9;249;1;199;1;8;1;3923299000;76;11;U;1391318,00;552,10;416,33;9228,07;44792128,97;7196,75;3424,75;0;37
2302;3;026;ARM;3;BOG;11;3;573;1;198;1;8;2;603129000;11;11;U;400,00;11,00;9,00;64,00;305774,72;0;0;0;0
2302;3;026;ARM;3;BOG;11;3;573;1;198;1;8;2;603192000;11;11;U;60,00;10,22;9,00;150,00;716659,50;0;0;0;0
2302;3;026;ARM;3;BOG;11;3;573;1;198;1;8;2;603193000;11;11;U;13792,00;1118,27;1011,00;4568,06;21818089,06;0;0;0;0
2302;3;026;ARM;3;BOG;11;3;573;1;198;1;8;2;603199090;11;11;U;190,00;89,49;80,00;254,00;1213381,60;0;0;0;0
2302;3;026;ARM;3;BOG;11;8;618;1;198;1;8;2;603121000;11;11;U;1530,00;44,94;41,00;244,80;1170937,15;0;0;0;0
2302;3;026;ARM;3;BOG;11;8;618;1;198;1;8;2;603129000;11;11;U;21350,00;639,05;583,00;3416,00;16339547,84;0;0;0;0
2302;3;026;ARM;3;BOG;11;9;249;1;198;1;8;2;7103912000;15;53;C/T;60,24;0,01;0,01;2000,00;9539700,00;0;0;0;0
2302;3;026;ARM;3;BOG;25;3;573;1;198;1;8;2;603121000;25;11;U;3550,00;122,00;39,00;567,80;2712795,09;0;0;0;0
2302;3;026;ARM;3;BOG;25;8;618;1;198;1;5;2;603141000;25;11;U;40,00;13,00;10,00;64,80;307284,84;0;0;0;0
2302;3;026;ARM;3;BOG;25;8;618;1;198;1;8;1;603121000;25;11;U;200,00;7,00;5,00;28,00;137730,32;27,14;0;0;0
2302;3;026;ARM;3;BOG;25;8;618;1;198;1;8;1;603141000;25;11;U;100,00;4,80;4,00;25,00;121956,00;24,69;0;0;0
2302;3;026;ARM;3;BOG;25;8;618;1;198;1;8;1;603149000;25;11;U;400,00;19,20;16,00;130,00;634171,20;128,43;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;4202220020;5;11;U;1,00;0,13;0,13;23,40;113581,26;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;4202920010;5;11;U;1,00;0,13;0,13;23,00;111639,70;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;4202920030;5;11;U;100,00;13,28;13,28;50,00;242694,00;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6104630000;5;11;U;2,00;0,27;0,27;68,00;330065,20;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6112410000;5;11;U;259,00;34,39;34,39;8964,80;43514242,72;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6203430000;5;11;U;7,00;0,93;0,93;256,00;1242598,40;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6204420000;5;11;U;1,00;0,13;0,13;14,00;67954,60;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6204440000;5;11;U;4,00;0,53;0,53;257,00;1247452,30;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6204530000;5;11;U;2,00;0,27;0,27;78,00;378604,20;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6204620000;5;11;U;1,00;0,13;0,13;54,60;265022,94;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6204690000;5;11;U;3,00;0,40;0,40;151,00;732938,90;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6205200000;5;11;U;1,00;0,13;0,13;34,00;165032,60;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6205300000;5;11;U;1,00;0,13;0,13;34,00;165032,60;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6211110000;5;11;U;3,00;0,40;0,40;64,50;313076,55;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6211420000;5;11;U;1,00;0,13;0,13;78,00;378604,20;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6211430000;5;11;U;15,00;1,99;1,99;848,80;4119990,32;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6217100000;5;11;U;20,00;2,66;2,66;663,20;3219106,48;0;0;0;0
2302;3;027;ABW;3;BOG;5;9;169;1;198;1;8;2;6505009000;5;11;U;2,00;0,27;0,27;26,00;126201,40;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;6;2;603110000;11;11;U;1350,00;61,62;58,00;398,50;1906121,14;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;6;2;603199090;11;11;U;1280,00;138,12;130,00;640,00;3061273,60;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;6;2;604200000;11;33;KG;52,00;55,25;52,00;144,00;688786,56;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;8;2;603110000;11;11;U;3797,00;171,62;167,00;1471,51;7142562,38;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;8;2;603141000;11;11;U;876,00;40,08;39,00;95,30;462576,67;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;8;2;603191000;11;11;U;292,00;13,36;13,00;46,71;226725,66;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;8;2;603199010;11;11;U;876,00;40,08;39,00;168,17;816280,36;0;0;0;0
2302;3;027;ABW;3;BOG;11;0;580;1;198;1;8;2;603199090;11;11;U;2337,00;105,85;103,00;392,41;1904718,89;0;0;0;0
